int64_field_0,player_name,teamId,gamesPlayed,points,goals,twoPointGoals,assists,powerPlayGoals,shortHandedGoals,pim,shots,twoPointShots,shotsOnGoal,twoPointShotsOnGoal,SOFF,groundBalls,faceoffs,faceoffsWon,faceoffsLost,turnovers,causedTurnovers,goalsAgainst,GAA,twoPointGoalsAgainst,twoPtGaa,saves,numPenalties,savePct,goalieWins,goalieLosses,goalieTies,gamesStarted,tof,statLeague,seasonSegment
26,Brendan Fowler,ARC,6,1,1,0,0,0,0,0,2,0,2,0,0,13,66,31,35,3,0,0,0,0,0,0,0,0,0,0,0,0,0,PLL,regular
80,Curtis Corley,ARC,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,6,0,PLL,regular
90,Dominique Alexander,ARC,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,PLL,regular
98,Eli Gobrecht,ARC,6,0,0,0,0,0,0,2,0,0,0,0,0,12,0,0,0,2,4,0,0,0,0,0,2,0,0,0,0,6,0,PLL,regular
124,Jack Rapine,ARC,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,PLL,regular
5,Andrew Hodgson,ATL,1,1,1,0,0,0,0,0,3,0,2,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,PLL,post
7,Andrew Hodgson,ATL,1,1,1,0,0,0,0,0,3,2,2,1,1,4,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,PLL,regular
11,Austin Pifani,ATL,5,0,0,0,0,0,0,4,0,0,0,0,0,12,0,0,0,3,4,0,0,0,0,0,4,0,0,0,0,4,0,PLL,regular
9,Austin Pifani,ATL,2,0,0,0,0,0,0,0,2,1,1,0,1,5,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,2,0,PLL,post
11,Austin Pifani,ATL,10,0,0,0,0,0,0,5,2,0,1,0,1,11,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,PLL,regular
20,Brent Hiken,ATL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PLL,post
31,Brent Hiken,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PLL,regular
3,Alex Woodall,BAR,5,1,0,0,1,0,0,0,0,0,0,0,0,35,134,79,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,MLL,regular
9,Anthony Joaquim,BAR,5,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,MLL,regular
30,Brendan Sunday,BAR,5,15,11,0,4,0,0,0,36,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MLL,regular
32,Brett Craig,BAR,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,MLL,regular
49,Carlson Milikin,BAR,5,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,MLL,regular
51,Chad Toliver,BAR,4,1,1,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,MLL,regular
62,Chris Madalon,BAR,5,0,0,0,0,0,0,0,3,0,0,0,0,30,0,0,0,0,1,64,10.24,0,0,58,0,0.4754098361,0,0,0,0,18000,MLL,regular
72,Colin Minicus,BAR,5,6,4,0,2,0,0,0,10,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MLL,regular
96,Eddie Bouhall,BAR,4,1,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,MLL,regular
134,James Wittmeyer,BAR,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,MLL,regular
157,Jon Mazza,BAR,5,9,6,0,3,0,0,0,28,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MLL,regular
172,Kevin Fox,BAR,5,0,0,0,0,0,0,0,1,0,0,0,0,6,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,MLL,regular
182,Kyle Marr,BAR,4,2,1,0,1,0,0,0,20,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MLL,regular
186,Liam Byrnes,BAR,5,0,0,0,0,0,0,0,2,0,0,0,0,21,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,MLL,regular
194,Mark Evanchick,BAR,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,MLL,regular
196,Mark Matthews,BAR,5,11,6,0,5,0,0,0,12,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,MLL,regular
208,Matt Whitcher,BAR,5,0,0,0,0,0,0,0,2,0,0,0,0,11,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,MLL,regular
248,PT Ricci,BAR,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,MLL,regular
262,Ryan MacSpadyen,BAR,5,4,4,0,0,0,0,0,13,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MLL,regular
